vertical,area,initiative,service,date,proyected_spend,max_spend,min_spend
Fintech,Pocket,Ad Targeting,AWS Lambda,22/04/2025,466.89,521.49,356.57
Fintech,Lending,CrossBorder Expansion,AWS S3,23/04/2025,1742.51,1899.05,1430.42
Retail,Advertisement,Shipping Automation,GCP BigQuery,23/04/2025,2119.62,2351.07,1614.81
Retail,Advertisement,Logistics Optimization,GCP BigQuery,23/04/2025,991.58,1100.83,770.51
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,23/04/2025,2116.84,2294.47,1630.23
Retail,Advertisement,Lending Scoring,AWS EC2,23/04/2025,884.06,971.34,692.7
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,23/04/2025,2272.81,2472.86,1739.53
Fintech,Lending,Fraud Shield,AWS Redshift,23/04/2025,2447.4,2661.34,1837.24
Retail,Platform,Search Relevance,AWS S3,24/04/2025,1043.84,1146.71,843.41
Retail,Services,Fraud Shield,AWS Lambda,24/04/2025,257.74,281.34,198.1
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,24/04/2025,2627.05,2920.87,2037.39
Retail,Services,Ad Targeting,AWS S3,24/04/2025,572.03,638.56,460.32
Retail,Delivery,Checkout Revamp,AWS EC2,25/04/2025,856.31,952.31,648.49
Fintech,Transfers,Fraud Shield,AWS S3,25/04/2025,493.09,537.79,399.68
Retail,Delivery,Pocket Growth,AWS EC2,25/04/2025,2474.2,2699.27,1963.16
Retail,Platform,Search Relevance,AWS Lambda,25/04/2025,123.21,134.32,103.42
Retail,Services,Ad Targeting,AWS Lambda,25/04/2025,121.26,131.61,100.33
Retail,Services,Checkout Revamp,AWS Lambda,26/04/2025,1573.39,1758.66,1205.11
Fintech,Bank account,Pocket Growth,AWS EC2,26/04/2025,1656.64,1815.81,1342.45
Retail,Services,Seller Onboarding 2.0,AWS S3,26/04/2025,2360.32,2570.36,1913.25
Retail,Platform,Fraud Shield,Kubernetes (GKE),26/04/2025,1743.95,1942.53,1439.46
Retail,Services,Ad Targeting,AWS Lambda,27/04/2025,99.53,109.08,79.71
Fintech,Lending,Shipping Automation,AWS Lambda,27/04/2025,1401.09,1515.14,1078.02
Fintech,Pocket,CrossBorder Expansion,Azure Data Lake,27/04/2025,410.34,445.82,312.05
Retail,Promotion,Lending Scoring,AWS Redshift,27/04/2025,696.99,770.57,587.56
Fintech,Deposits,Fraud Shield,AWS Lambda,27/04/2025,259.81,288.73,205.9
Retail,Advertisement,Lending Scoring,Databricks,27/04/2025,1843.72,2006.77,1481.01
Retail,Platform,Fraud Shield,Kubernetes (GKE),27/04/2025,1556.69,1738.35,1227.56
Retail,Services,Search Relevance,GCP BigQuery,28/04/2025,815.94,908.99,657.05
Fintech,Transfers,Fraud Shield,AWS S3,28/04/2025,483.64,538.74,391.81
Retail,Advertisement,Pocket Growth,GCP BigQuery,28/04/2025,837.47,912.1,672.33
Fintech,Bank account,Pocket Growth,Azure Data Lake,28/04/2025,1163.73,1259.18,921.44
Fintech,Transfers,Fraud Shield,GCP Cloud Run,29/04/2025,935.31,1042.59,748.16
Fintech,Pocket,Lending Scoring,AWS Lambda,29/04/2025,1362.57,1488.24,1093.85
Retail,Services,Checkout Revamp,GCP Cloud Storage,29/04/2025,421.4,465.55,323.73
Fintech,Lending,Logistics Optimization,AWS S3,29/04/2025,269.55,299.31,209.02
Retail,Services,Fraud Shield,AWS S3,29/04/2025,472.99,513.26,385.89
Retail,Advertisement,Pocket Growth,Databricks,29/04/2025,1025.18,1139.21,789.33
Retail,Services,Ad Targeting,AWS Lambda,29/04/2025,74.75,83.54,57.16
Retail,Services,Fraud Shield,AWS Lambda,30/04/2025,248.76,275.91,207.63
Retail,Services,Lending Scoring,AWS Lambda,30/04/2025,1654.23,1815.76,1309.71
Fintech,Lending,Logistics Optimization,AWS S3,30/04/2025,451.82,503.81,371.16
Retail,Services,Checkout Revamp,GCP Cloud Storage,30/04/2025,380.98,419.5,295.67
Retail,Services,Fraud Shield,GCP Cloud Storage,30/04/2025,1897.25,2105.55,1567.36
Fintech,Bank account,Lending Scoring,GCP Cloud Storage,30/04/2025,1371.79,1526.55,1073.92
Fintech,Deposits,Checkout Revamp,Databricks,01/05/2025,2016.29,2238.03,1662.41
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,01/05/2025,2517.32,2747.69,2011.05
Retail,Delivery,CrossBorder Expansion,AWS Redshift,01/05/2025,1666.68,1807.87,1258.57
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,01/05/2025,1979.01,2156.2,1606.7
Fintech,Deposits,Search Relevance,GCP Cloud Storage,01/05/2025,1557.43,1713.35,1187.43
Retail,Delivery,Search Relevance,AWS EC2,02/05/2025,537.21,591.05,403.61
Retail,Advertisement,Logistics Optimization,AWS EC2,02/05/2025,1001.25,1104.69,763.47
Fintech,Deposits,Checkout Revamp,AWS Redshift,02/05/2025,1559.18,1708.56,1299.44
Fintech,Bank account,Seller Onboarding 2.0,Azure Data Lake,02/05/2025,1275.9,1418.13,979.94
Retail,Delivery,Fraud Shield,AWS EC2,02/05/2025,1459.9,1630.02,1236.22
Retail,Platform,Fraud Shield,AWS Lambda,02/05/2025,223.98,244.11,181.58
Fintech,Bank account,Lending Scoring,Azure Data Lake,02/05/2025,2112.01,2343.19,1611.31
Retail,Delivery,Fraud Shield,AWS Redshift,03/05/2025,2127.42,2355.3,1661.78
Retail,Delivery,Checkout Revamp,AWS EC2,03/05/2025,1136.71,1251.43,905.65
Retail,Promotion,Search Relevance,GCP Cloud Storage,03/05/2025,1539.3,1674.05,1248.7
Retail,Delivery,Pocket Growth,AWS EC2,03/05/2025,1827.86,2032.23,1405.21
Fintech,Deposits,Checkout Revamp,GCP Cloud Storage,03/05/2025,306.91,343.25,239.09
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,03/05/2025,2378.19,2637.12,1910.07
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,04/05/2025,2277.41,2543.22,1732.55
Fintech,Transfers,Fraud Shield,AWS Redshift,04/05/2025,1322.29,1480.13,1093.54
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,04/05/2025,485.99,531.71,404.81
Retail,Platform,Search Relevance,Kubernetes (GKE),04/05/2025,1279.63,1414.67,1005.43
Fintech,Pocket,Fraud Shield,AWS S3,04/05/2025,493.74,542.6,371.69
Fintech,Bank account,Lending Scoring,GCP Cloud Run,05/05/2025,420.72,470.98,347.21
Fintech,Lending,Shipping Automation,AWS Lambda,05/05/2025,1210.95,1312.37,999.07
Fintech,Bank account,Lending Scoring,Kubernetes (GKE),05/05/2025,245.08,268.73,204.9
Retail,Services,Search Relevance,GCP BigQuery,05/05/2025,569.89,635.44,435.36
Retail,Delivery,Checkout Revamp,Kubernetes (GKE),05/05/2025,1224.52,1336.39,1013.12
Retail,Promotion,CrossBorder Expansion,AWS Redshift,05/05/2025,1785.72,1984.85,1428.01
Retail,Platform,Pocket Growth,Kubernetes (GKE),05/05/2025,1396.65,1529.77,1048.76
Retail,Promotion,Search Relevance,GCP Cloud Storage,06/05/2025,1494.55,1672.69,1268.55
Retail,Services,Seller Onboarding 2.0,AWS S3,06/05/2025,2047.47,2283.63,1626.41
Fintech,Pocket,Lending Scoring,AWS S3,06/05/2025,780.28,852.1,623.26
Retail,Delivery,Checkout Revamp,AWS Redshift,06/05/2025,1022.16,1135.43,786.3
Retail,Delivery,Pocket Growth,AWS EC2,06/05/2025,1745.9,1909.1,1421.99
Fintech,Transfers,Fraud Shield,GCP Cloud Run,06/05/2025,664.85,734.16,537.84
Fintech,Bank account,Pocket Growth,GCP Cloud Run,06/05/2025,1268.22,1403.08,1056.69
Fintech,Transfers,Search Relevance,GCP Cloud Run,07/05/2025,773.81,861.4,600.42
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,07/05/2025,473.33,511.66,365.19
Retail,Promotion,Shipping Automation,AWS S3,07/05/2025,2046.48,2228.22,1711.54
Retail,Advertisement,Lending Scoring,GCP BigQuery,07/05/2025,770.7,854.3,624.77
Fintech,Lending,Shipping Automation,AWS S3,07/05/2025,1108.19,1221.83,843.01
Fintech,Deposits,Pocket Growth,Databricks,07/05/2025,1179.84,1297.61,1002.54
Fintech,Deposits,Pocket Growth,Databricks,08/05/2025,1175.3,1271.92,963.89
Retail,Services,Checkout Revamp,GCP Cloud Storage,08/05/2025,322.26,352.53,256.04
Retail,Platform,Search Relevance,AWS Lambda,08/05/2025,135.75,151.31,110.85
Retail,Advertisement,Shipping Automation,GCP BigQuery,08/05/2025,1861.56,2012.79,1531.68
Retail,Delivery,CrossBorder Expansion,AWS EC2,08/05/2025,1457.54,1597.26,1171.86
Retail,Promotion,Shipping Automation,AWS Redshift,09/05/2025,980.53,1096.05,815.66
Fintech,Bank account,Lending Scoring,Azure Data Lake,09/05/2025,1822.95,1972.49,1452.96
Retail,Platform,Search Relevance,AWS S3,09/05/2025,1375.9,1527.23,1072.28
Retail,Platform,Fraud Shield,AWS Lambda,09/05/2025,251.67,274.4,199.44
Retail,Promotion,Ad Targeting,AWS Redshift,09/05/2025,2023.53,2255.55,1701.16
Fintech,Deposits,Fraud Shield,Kubernetes (GKE),10/05/2025,1608.42,1785.09,1231.34
Fintech,Transfers,Fraud Shield,GCP BigQuery,10/05/2025,2377.19,2651.58,1979.01
Fintech,Bank account,Shipping Automation,Kubernetes (GKE),10/05/2025,177.99,193.77,137.68
Retail,Delivery,Fraud Shield,Kubernetes (GKE),10/05/2025,1713.09,1886.54,1394.36
Retail,Promotion,Ad Targeting,AWS S3,10/05/2025,511.33,568.18,394.61
Fintech,Bank account,Lending Scoring,AWS S3,11/05/2025,912.55,994.52,756.84
Retail,Platform,Pocket Growth,AWS S3,11/05/2025,1594.36,1736.62,1325.45
Fintech,Lending,Pocket Growth,Databricks,11/05/2025,1016.99,1099.45,813.89
Retail,Services,Seller Onboarding 2.0,GCP BigQuery,11/05/2025,486.01,543.53,411.51
Fintech,Bank account,Seller Onboarding 2.0,GCP Cloud Storage,11/05/2025,425.86,472.02,352.39
Fintech,Pocket,Ad Targeting,GCP BigQuery,12/05/2025,1944.63,2149.63,1512.14
Fintech,Transfers,Fraud Shield,AWS S3,12/05/2025,380.12,421.84,291.27
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),12/05/2025,2133.45,2349.49,1796.2
Retail,Promotion,Shipping Automation,AWS Redshift,12/05/2025,1419.48,1560.07,1081.35
Retail,Promotion,Ad Targeting,AWS S3,12/05/2025,539.5,592.36,415.55
Fintech,Transfers,Fraud Shield,GCP BigQuery,12/05/2025,2403.21,2657.03,1833.72
Fintech,Deposits,Search Relevance,Databricks,12/05/2025,527.32,573.76,411.4
Fintech,Lending,Logistics Optimization,AWS Redshift,13/05/2025,834.45,930.85,653.03
Retail,Delivery,Pocket Growth,Kubernetes (GKE),13/05/2025,2699.12,3002.69,2152.52
Retail,Services,Search Relevance,GCP BigQuery,13/05/2025,638.84,698.88,501.31
Fintech,Deposits,Pocket Growth,GCP Cloud Storage,13/05/2025,805.95,889.08,610.98
Retail,Services,Seller Onboarding 2.0,AWS S3,14/05/2025,2446.8,2656.34,2055.18
Fintech,Deposits,CrossBorder Expansion,AWS Redshift,14/05/2025,1790.83,2003.75,1465.66
Retail,Platform,Fraud Shield,AWS S3,14/05/2025,615.19,686.62,518.45
Fintech,Bank account,Lending Scoring,GCP Cloud Run,14/05/2025,347.48,388.09,262.53
Retail,Advertisement,Lending Scoring,AWS EC2,15/05/2025,1001.12,1094.51,806.38
Retail,Delivery,Pocket Growth,AWS Redshift,15/05/2025,219.89,238.96,172.05
Retail,Platform,Fraud Shield,AWS S3,15/05/2025,505.52,550.24,387.17
Fintech,Pocket,Lending Scoring,AWS S3,15/05/2025,614.36,665.72,461.32
Retail,Platform,Fraud Shield,Kubernetes (GKE),15/05/2025,1283.07,1391.88,1069.85
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,15/05/2025,538.44,583.05,414.62
Retail,Platform,Pocket Growth,AWS Lambda,16/05/2025,1118.39,1252.14,851.38
Retail,Platform,Fraud Shield,AWS S3,16/05/2025,450.11,487.45,380.39
Retail,Delivery,Search Relevance,Kubernetes (GKE),16/05/2025,1462.91,1587.7,1133.16
Retail,Platform,Search Relevance,AWS Lambda,16/05/2025,175.77,195.65,143.17
Retail,Platform,Fraud Shield,Kubernetes (GKE),16/05/2025,1465.07,1616.28,1150.29
Retail,Platform,Pocket Growth,Kubernetes (GKE),16/05/2025,2474.81,2749.45,1976.37
Retail,Platform,Search Relevance,Kubernetes (GKE),16/05/2025,1344.93,1486.47,1108.26
Retail,Platform,Pocket Growth,AWS S3,17/05/2025,1852.26,2065.8,1549.37
Fintech,Bank account,Pocket Growth,GCP Cloud Storage,17/05/2025,808.31,893.62,677.61
Retail,Delivery,Pocket Growth,AWS EC2,17/05/2025,2150.87,2367.86,1806.02
Fintech,Deposits,Fraud Shield,AWS EC2,17/05/2025,279.6,309.94,219.83
Fintech,Pocket,Ad Targeting,GCP BigQuery,17/05/2025,1211.47,1330.07,987.18
Retail,Delivery,Search Relevance,AWS Redshift,17/05/2025,2244.93,2455.6,1859.56
Retail,Platform,Fraud Shield,AWS S3,18/05/2025,384.91,422.91,300.54
Retail,Promotion,Ad Targeting,GCP Cloud Storage,18/05/2025,1793.56,1949.22,1401.33
Retail,Promotion,Shipping Automation,GCP Cloud Storage,18/05/2025,1126.38,1252.38,896.69
Fintech,Transfers,Seller Onboarding 2.0,AWS Redshift,18/05/2025,444.44,484.63,336.22
Retail,Delivery,Fraud Shield,Kubernetes (GKE),18/05/2025,1721.74,1870.05,1397.12
Retail,Delivery,Checkout Revamp,AWS EC2,18/05/2025,3553.78,3873.11,2723.67
Retail,Services,Ad Targeting,GCP Cloud Storage,18/05/2025,1924.28,2143.03,1621.18
Retail,Services,Ad Targeting,GCP BigQuery,19/05/2025,1514.04,1655.16,1174.92
Retail,Promotion,Shipping Automation,AWS S3,19/05/2025,2419.06,2678.96,1817.09
Retail,Platform,Search Relevance,AWS S3,19/05/2025,953.8,1062.78,729.98
Fintech,Bank account,Shipping Automation,GCP Cloud Storage,19/05/2025,904.88,980.09,716.7
Retail,Services,Lending Scoring,AWS S3,19/05/2025,546.5,606.95,430.27
Fintech,Bank account,Seller Onboarding 2.0,Azure Data Lake,19/05/2025,953.7,1041.73,776.95
Retail,Services,Ad Targeting,AWS S3,19/05/2025,575.35,626.36,449.95
Fintech,Deposits,Fraud Shield,Kubernetes (GKE),20/05/2025,1965.19,2176.56,1519.01
Fintech,Transfers,Fraud Shield,AWS S3,20/05/2025,372.34,415.67,279.32
Fintech,Deposits,CrossBorder Expansion,AWS EC2,20/05/2025,1812.52,1978.91,1451.38
Fintech,Pocket,Fraud Shield,Azure Data Lake,20/05/2025,354.69,391.14,299.31
Retail,Advertisement,Shipping Automation,GCP BigQuery,20/05/2025,2136.74,2332.45,1688.91
Fintech,Lending,Shipping Automation,AWS S3,21/05/2025,1537.57,1694.66,1288.63
Fintech,Bank account,CrossBorder Expansion,AWS EC2,21/05/2025,2732.89,3019.5,2256.07
Retail,Platform,Pocket Growth,Kubernetes (GKE),21/05/2025,9576.1,10575.98,7824.84
Fintech,Deposits,Fraud Shield,GCP Cloud Storage,21/05/2025,1989.76,2198.57,1545.84
Fintech,Deposits,Search Relevance,Databricks,21/05/2025,665.12,721.93,553.13
Fintech,Deposits,Checkout Revamp,Kubernetes (GKE),21/05/2025,1887.29,2090.63,1572.91
Fintech,Deposits,Fraud Shield,AWS Lambda,21/05/2025,234.89,260.03,198.6
Fintech,Lending,CrossBorder Expansion,AWS Redshift,22/05/2025,1416.3,1568.27,1080.18
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,22/05/2025,639.84,692.92,499.49
Fintech,Deposits,Search Relevance,AWS Redshift,22/05/2025,2165.43,2377.37,1831.96
Retail,Delivery,Checkout Revamp,AWS EC2,22/05/2025,847.66,929.34,718.11
Fintech,Lending,Shipping Automation,Databricks,22/05/2025,507.81,550.2,403.27
Fintech,Transfers,Search Relevance,AWS Redshift,22/05/2025,2563.61,2791.5,2106.64
Retail,Services,Fraud Shield,GCP BigQuery,23/05/2025,1631.58,1790.88,1289.48
Fintech,Deposits,CrossBorder Expansion,Kubernetes (GKE),23/05/2025,174.54,193.69,140.78
Fintech,Lending,Logistics Optimization,Databricks,23/05/2025,189.74,206.72,143.76
Fintech,Deposits,Search Relevance,AWS Lambda,23/05/2025,249.13,277.33,204.59
Fintech,Pocket,Ad Targeting,AWS Lambda,24/05/2025,92.84,102.3,72.61
Fintech,Pocket,Lending Scoring,GCP Cloud Run,24/05/2025,332.85,369.6,281.12
Retail,Services,Seller Onboarding 2.0,AWS Lambda,24/05/2025,2176.59,2391.86,1642.05
Fintech,Bank account,Pocket Growth,AWS S3,24/05/2025,1713.16,1884.42,1288.17
Fintech,Transfers,Fraud Shield,GCP Cloud Run,24/05/2025,581.56,642.5,451.34
Fintech,Bank account,Lending Scoring,AWS S3,24/05/2025,950.78,1062.13,763.93
Retail,Promotion,Shipping Automation,GCP Cloud Storage,24/05/2025,1199.32,1318.85,993.03
Retail,Platform,Fraud Shield,AWS Lambda,25/05/2025,281.4,309.86,216.33
Fintech,Pocket,Ad Targeting,GCP Cloud Run,25/05/2025,2402.5,2652.56,1865.22
Fintech,Bank account,Pocket Growth,GCP Cloud Storage,25/05/2025,721.32,800.31,597.12
Retail,Platform,Pocket Growth,AWS S3,25/05/2025,1500.23,1624.56,1207.5
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,25/05/2025,2640.94,2906.69,2122.58
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,25/05/2025,470.82,517.56,361.29
Fintech,Pocket,Lending Scoring,AWS S3,25/05/2025,677.46,756.63,529.51
Retail,Services,Search Relevance,GCP Cloud Storage,26/05/2025,1594.68,1753.73,1252.91
Fintech,Deposits,Pocket Growth,Kubernetes (GKE),26/05/2025,1720.47,1890.33,1350.6
Retail,Advertisement,Shipping Automation,GCP BigQuery,26/05/2025,1420.2,1588.48,1168.76
Retail,Platform,Fraud Shield,AWS S3,26/05/2025,407.11,447.01,330.91
Fintech,Transfers,Fraud Shield,AWS S3,26/05/2025,2752.11,2992.19,2326.73
Fintech,Bank account,Pocket Growth,GCP Cloud Storage,26/05/2025,602.76,656.21,464.91
Fintech,Bank account,CrossBorder Expansion,GCP Cloud Run,27/05/2025,281.85,305.47,227.37
Fintech,Pocket,Fraud Shield,GCP Cloud Run,27/05/2025,548.89,592.81,442.5
Fintech,Lending,CrossBorder Expansion,AWS Redshift,27/05/2025,1993.81,2187.77,1645.82
Retail,Delivery,CrossBorder Expansion,Kubernetes (GKE),27/05/2025,174.37,193.68,144.56
Retail,Platform,Search Relevance,AWS S3,27/05/2025,1092.28,1211.71,864.23
Retail,Services,Search Relevance,AWS Lambda,27/05/2025,669.04,723.42,553.12
Fintech,Pocket,CrossBorder Expansion,GCP Cloud Run,28/05/2025,204.42,225.44,172.45
Fintech,Bank account,Pocket Growth,Azure Data Lake,28/05/2025,1444.47,1568.94,1116.94
Fintech,Transfers,Seller Onboarding 2.0,GCP BigQuery,28/05/2025,573.24,640.68,465.67
Retail,Platform,Search Relevance,Kubernetes (GKE),28/05/2025,1411.86,1534.26,1146.4
Fintech,Transfers,Seller Onboarding 2.0,AWS S3,28/05/2025,2298.7,2540.21,1854.75
Retail,Promotion,Lending Scoring,AWS S3,28/05/2025,587.58,642.26,451.56
Fintech,Lending,CrossBorder Expansion,AWS Lambda,29/05/2025,1932.5,2136.69,1580.62
Fintech,Deposits,Search Relevance,GCP Cloud Storage,29/05/2025,1540.86,1689.53,1192.92
Fintech,Pocket,Fraud Shield,Azure Data Lake,29/05/2025,312.79,347.32,236.48
Retail,Advertisement,Logistics Optimization,Databricks,29/05/2025,167.47,182.41,131.28
Retail,Platform,Search Relevance,AWS Lambda,29/05/2025,96.24,107.42,77.65
Fintech,Pocket,Fraud Shield,Azure Data Lake,29/05/2025,313.3,344.64,242.88
Fintech,Pocket,Fraud Shield,GCP Cloud Run,29/05/2025,842.82,935.73,677.8
Retail,Delivery,Fraud Shield,Kubernetes (GKE),30/05/2025,2091.46,2329.87,1691.07
Fintech,Pocket,Fraud Shield,GCP BigQuery,30/05/2025,1920.69,2151.08,1531.69
Retail,Delivery,Search Relevance,AWS EC2,30/05/2025,405.41,441.48,331.72
Fintech,Lending,Pocket Growth,Databricks,30/05/2025,1274.97,1391.6,1070.43
Fintech,Lending,Logistics Optimization,AWS Redshift,30/05/2025,852.16,928.87,688.98
Fintech,Bank account,Shipping Automation,GCP Cloud Storage,30/05/2025,1669.72,1820.85,1398.58
Retail,Platform,Fraud Shield,AWS Lambda,30/05/2025,208.41,229.94,168.59
Retail,Platform,Pocket Growth,Kubernetes (GKE),31/05/2025,2035.97,2279.76,1617.18
Retail,Promotion,Seller Onboarding 2.0,AWS S3,31/05/2025,2449.73,2742.75,1854.27
Fintech,Bank account,Shipping Automation,AWS EC2,31/05/2025,350.26,385.66,296.45
Retail,Advertisement,Logistics Optimization,AWS EC2,31/05/2025,908.75,1004.68,715.96
Retail,Services,Search Relevance,AWS Lambda,31/05/2025,187.42,208.86,150.73
Fintech,Bank account,Pocket Growth,GCP Cloud Run,31/05/2025,2840.6,3173.86,2408.76
Fintech,Deposits,Fraud Shield,AWS Lambda,01/06/2025,216.27,235.34,178.43
Retail,Delivery,Fraud Shield,AWS EC2,01/06/2025,1600.53,1762.41,1341.49
Retail,Services,Seller Onboarding 2.0,AWS Lambda,01/06/2025,3687.39,4105.22,3054.34
Fintech,Transfers,Seller Onboarding 2.0,GCP Cloud Run,01/06/2025,568.39,620.75,467.52
Retail,Promotion,CrossBorder Expansion,GCP Cloud Storage,01/06/2025,2179.07,2391.73,1764.76
Retail,Services,Ad Targeting,AWS Lambda,01/06/2025,123.39,138.13,98.36
Retail,Promotion,Search Relevance,GCP Cloud Storage,02/06/2025,1371.7,1535.49,1165.81
Retail,Platform,Pocket Growth,Kubernetes (GKE),02/06/2025,1928.79,2153.0,1608.25
Fintech,Pocket,Fraud Shield,AWS Lambda,02/06/2025,221.12,245.88,185.89
Fintech,Deposits,CrossBorder Expansion,Databricks,02/06/2025,967.54,1055.36,769.22
Retail,Promotion,Seller Onboarding 2.0,AWS S3,02/06/2025,2577.96,2817.28,2106.43
Retail,Delivery,CrossBorder Expansion,AWS EC2,02/06/2025,1785.17,1967.06,1419.49
Retail,Platform,Pocket Growth,AWS S3,02/06/2025,1341.08,1478.45,1110.17
Fintech,Transfers,Fraud Shield,AWS S3,03/06/2025,512.81,564.2,434.65
Fintech,Bank account,Lending Scoring,AWS EC2,03/06/2025,859.3,949.93,649.51
Retail,Delivery,Fraud Shield,Kubernetes (GKE),03/06/2025,2506.12,2747.54,2103.05
Fintech,Deposits,Fraud Shield,AWS Redshift,03/06/2025,2722.06,3021.4,2279.22
Fintech,Bank account,Pocket Growth,GCP Cloud Storage,03/06/2025,828.53,905.87,692.11
Retail,Services,Checkout Revamp,AWS S3,03/06/2025,2352.14,2571.42,1768.51
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,03/06/2025,576.33,625.37,454.29
Retail,Delivery,Search Relevance,Kubernetes (GKE),04/06/2025,1495.52,1626.46,1179.93
Fintech,Lending,Pocket Growth,Databricks,04/06/2025,1165.66,1298.57,875.79
Fintech,Pocket,CrossBorder Expansion,GCP BigQuery,04/06/2025,2112.57,2319.28,1777.0
Fintech,Pocket,Ad Targeting,AWS S3,04/06/2025,574.6,625.81,432.42
Fintech,Transfers,Search Relevance,GCP BigQuery,04/06/2025,670.08,744.04,555.9
Fintech,Deposits,Logistics Optimization,AWS Redshift,04/06/2025,893.04,984.28,703.44
Retail,Advertisement,Logistics Optimization,GCP BigQuery,05/06/2025,1205.42,1302.88,973.97
Fintech,Deposits,CrossBorder Expansion,AWS EC2,05/06/2025,2537.71,2772.84,2059.61
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,05/06/2025,156.39,170.01,118.37
Retail,Services,Search Relevance,AWS Lambda,05/06/2025,155.52,172.04,129.87
Fintech,Lending,CrossBorder Expansion,AWS Lambda,05/06/2025,2162.23,2359.0,1622.31
Fintech,Deposits,Pocket Growth,AWS EC2,06/06/2025,1963.81,2126.02,1594.79
Retail,Services,Fraud Shield,GCP Cloud Storage,06/06/2025,1672.46,1809.94,1313.09
Fintech,Bank account,Shipping Automation,GCP Cloud Storage,06/06/2025,1618.19,1785.3,1218.83
Retail,Services,Checkout Revamp,GCP BigQuery,06/06/2025,599.38,647.85,506.02
Retail,Delivery,Seller Onboarding 2.0,Kubernetes (GKE),06/06/2025,1155.13,1286.76,875.26
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,07/06/2025,2281.67,2478.39,1809.87
Fintech,Bank account,Pocket Growth,Kubernetes (GKE),07/06/2025,2565.83,2833.34,2000.22
Fintech,Deposits,Logistics Optimization,AWS Lambda,07/06/2025,832.75,914.18,695.41
Retail,Services,Ad Targeting,GCP Cloud Storage,07/06/2025,1775.99,1949.53,1414.86
Fintech,Bank account,Pocket Growth,AWS S3,07/06/2025,1370.71,1484.3,1072.78
Retail,Delivery,Pocket Growth,AWS Redshift,08/06/2025,146.73,163.18,118.02
Fintech,Deposits,CrossBorder Expansion,GCP Cloud Storage,08/06/2025,2421.58,2701.81,2020.81
Retail,Platform,Pocket Growth,Kubernetes (GKE),08/06/2025,1595.12,1723.44,1316.92
Retail,Platform,Pocket Growth,Kubernetes (GKE),08/06/2025,1779.5,1934.58,1360.54
Retail,Delivery,Fraud Shield,AWS Redshift,09/06/2025,2156.14,2406.59,1825.29
Retail,Advertisement,Seller Onboarding 2.0,AWS EC2,09/06/2025,159.86,176.17,124.55
Fintech,Pocket,Fraud Shield,GCP Cloud Run,09/06/2025,106.4,115.55,79.81
Fintech,Lending,Shipping Automation,AWS Redshift,09/06/2025,1333.4,1450.89,1132.39
Retail,Promotion,Search Relevance,AWS S3,11/06/2025,1175.35,1300.41,980.12
Retail,Promotion,Ad Targeting,AWS Redshift,11/06/2025,2361.48,2618.86,1848.06
Retail,Services,Fraud Shield,GCP Cloud Storage,11/06/2025,1948.03,2150.58,1644.14
Retail,Promotion,Search Relevance,AWS S3,11/06/2025,1115.92,1247.74,882.71
Fintech,Pocket,CrossBorder Expansion,AWS Lambda,11/06/2025,2076.51,2283.67,1623.0
Fintech,Lending,Fraud Shield,AWS S3,11/06/2025,595.17,649.94,470.89
Retail,Delivery,Fraud Shield,AWS EC2,12/06/2025,1696.58,1864.69,1380.14
Retail,Delivery,Seller Onboarding 2.0,AWS Redshift,12/06/2025,595.23,651.41,464.44
Fintech,Pocket,Fraud Shield,AWS Lambda,12/06/2025,244.02,265.73,192.91
Retail,Delivery,Seller Onboarding 2.0,Kubernetes (GKE),12/06/2025,1046.61,1132.26,867.88
Fintech,Lending,Pocket Growth,AWS Redshift,12/06/2025,200.21,219.05,158.91
Fintech,Pocket,Ad Targeting,GCP Cloud Run,13/06/2025,1165.34,1291.73,887.77
Fintech,Deposits,CrossBorder Expansion,AWS Redshift,13/06/2025,2250.34,2432.03,1762.73
Fintech,Lending,Fraud Shield,Databricks,13/06/2025,1325.1,1454.39,1063.82
Fintech,Pocket,Lending Scoring,AWS Lambda,13/06/2025,1529.97,1691.78,1251.27
Retail,Advertisement,Seller Onboarding 2.0,Databricks,13/06/2025,669.15,739.02,563.03
Retail,Delivery,Checkout Revamp,AWS Redshift,14/06/2025,1260.21,1400.18,1040.35
Fintech,Bank account,Lending Scoring,GCP Cloud Run,14/06/2025,484.93,539.44,411.65
Retail,Promotion,Seller Onboarding 2.0,AWS Redshift,14/06/2025,644.11,713.98,483.95
